X,Y,landmarkid,landmarkco,landmarkna,landmarkad,address
121.380118,23.580233,1.00E+12,301,富源火車站,1001509,花蓮縣瑞穗鄉富源路2號
120.580031,23.73164403,1.00E+12,301,石榴火車站,1000901,雲林縣斗六市
121.092706,22.86084502,1.00E+12,301,初鹿火車站(閒),1001404,台東縣卑南鄉
120.262884,23.32284302,6.70E+12,301,鹽水火車站(閒),6700002,台南市鹽水區
120.560687,23.99005301,1.00E+12,301,大村火車站,1000713,彰化縣大村鄉過溝村福進路100號
121.12841,22.88083605,1.00E+12,301,嘉豐火車站(閒),1001404,台東縣卑南鄉
120.820682,22.29350899,1.00E+12,301,菩安火車站(閒),1001415,台東縣達仁鄉
121.6016789,24.03260205,1.00E+12,301,北埔火車站,1001504,花蓮縣新城鄉自強街113號
120.485902,22.45638096,1.00E+12,301,大鶻火車站(閒),1001303,屏東縣東港鎮
121.1590259,22.95602803,1.00E+12,301,瑞源火車站,1001405,台東縣鹿野鄉瑞景路一段336巷8號之1
120.614173,24.10883601,6.60E+12,301,新烏日火車站,6600023,台中市烏日區高鐵東一路
120.386591,23.41328903,1.00E+12,301,南靖火車站,1001012,嘉義縣水上鄉
121.3773141,23.52841298,1.00E+12,301,瑞北火車站(閒),1001509,花蓮縣瑞穗鄉
120.212348,22.99717497,6.70E+12,301,台南火車站,6700032,台南市東區北門路二段4號
121.544901,23.94211904,1.00E+12,301,南華火車站(閒),1001505,花蓮縣吉安鄉
120.6433501,22.30622601,1.00E+12,301,內獅火車站,1001325,屏東縣枋山鄉
120.624618,22.33097106,1.00E+12,301,加祿火車站,1001325,屏東縣枋山鄉加祿村會社路53號
120.717166,22.28079605,1.00E+12,301,枋野火車站,1001332,屏東縣獅子鄉內獅村內獅巷88號
120.900897,22.36527901,1.00E+12,301,大武火車站,1001410,台東縣大武鄉和平路69號
120.5477549,22.41397903,1.00E+12,301,佳冬火車站,1001321,屏東縣佳冬鄉六根村復興路21號
120.5157169,22.43148197,1.00E+12,301,林邊火車站,1001319,屏東縣林邊鄉仁和村仁愛路33號
120.9588481,22.50700895,1.00E+12,301,多良火車站(閒),1001409,台東縣太麻里鄉
120.51512,22.51344204,1.00E+12,301,崁頂火車站,1001318,屏東縣崁頂鄉
120.536362,22.54996296,1.00E+12,301,潮州火車站,1001302,屏東縣潮州鎮信義路111號
120.52661,22.61644996,1.00E+12,301,西勢火車站,1001314,屏東縣竹田鄉西勢村西豐路2號
120.27542,22.62158108,6.40E+12,301,高雄港火車站(廢),6400002,高雄市鼓山區鼓山一路32號
120.357611,22.63132898,6.40E+12,301,鳳山火車站,6400012,高雄市鳳山區曹公路68號
120.5143921,22.63480206,1.00E+12,301,麟洛火車站,1001307,屏東縣麟洛鄉
120.301819,22.63836497,6.40E+12,301,高雄火車站,6400005,高雄市三民區建國二路318號
120.3912361,22.64018902,6.40E+12,301,後庄火車站,6400014,高雄市大寮區
120.420972,22.65647207,6.40E+12,301,九曲堂火車站,6400015,高雄市大樹區久堂村鐵路巷15號
120.486162,22.66925303,1.00E+12,301,屏東火車站,1001301,屏東縣屏東市光復路43號
120.294897,22.67495195,6.40E+12,301,左營火車站,6400003,高雄市左營區勝利路1號
120.2880273,22.6820617,6.40E+12,301,高雄運務段,6400003,高雄市左營區站前路5號
120.3071189,22.68766696,6.40E+12,301,新左營火車站,6400003,高雄市左營區站前北路1號
121.093469,22.76425793,1.00E+12,301,康樂火車站,1001401,台東縣台東市博物館路51巷131號
120.310207,22.76081198,6.40E+12,301,橋頭火車站,6400020,高雄市橋頭區橋頭村站前街14號
120.480792,23.67287707,1.00E+12,301,斗南火車站,1000902,雲林縣斗南鎮南昌里中山路2號
121.123116,22.79371302,1.00E+12,301,台東火車站,1001401,台東縣台東市岩灣路101巷598號
120.300016,22.79250412,6.40E+12,301,岡山火車站,6400019,高雄市岡山區岡燕路111號
121.0926949,22.80886397,1.00E+12,301,檳榔火車站(閒),1001404,台東縣卑南鄉
120.2662231,22.85406204,6.40E+12,301,路竹火車站,6400024,高雄市路竹區竹南村中正路288號
121.137815,22.861904,1.00E+12,301,山里火車站,1001404,台東縣卑南鄉山里路7-4號
120.253983,22.87814697,6.40E+12,301,大湖火車站,6400024,高雄市路竹區甲南村天佑路24號
120.252861,22.904046,6.70E+12,301,中洲火車站,6700027,台南市仁德區中洲村298-1號
120.231623,22.93296391,6.70E+12,301,保安火車站,6700027,台南市仁德區文賢路一段529巷10號
121.151453,23.01638402,1.00E+12,301,月美火車站,1001403,台東縣關山鎮
121.164359,23.04565601,1.00E+12,301,關山火車站,1001403,台東縣關山鎮博愛路2號
120.289907,23.06822701,6.70E+12,301,新市火車站,6700020,台南市新市區新和村中華路1號
121.176851,23.10287907,1.00E+12,301,海端火車站,1001403,台東縣關山鎮西庄路49號
120.302071,23.10742301,6.70E+12,301,南科火車站,6700020,台南市新市區大營村大營287-300號
121.219436,23.12607099,1.00E+12,301,池上火車站,1001406,台東縣池上鄉鐵花路30號
121.2396459,23.15985004,1.00E+12,301,富南火車站(閒),1001510,花蓮縣富里鄉
